Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,make,model,Transmission,Seats_coupe,Seats_family,Seats_large,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,location_Ahmedabad,location_Bangalore,location_Chennai,location_Coimbatore,location_Delhi,location_Hyderabad,location_Jaipur,location_Kochi,location_Kolkata,location_Mumbai,location_Pune,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third
2007,73745,17.0,1086,,5.0,2.1,Hyundai,Santro Xing XO,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2016,18949,17.8,1198,86.7,5.0,5.0,Honda,Amaze SX i-VTEC,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2014,107000,13.0,2982,168.5,7.0,16.5,Toyota,Fortuner 4x2 Manual,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2018,48367,17.68,1968,174.33,5.0,39.58,Audi,A6 2011-2015 35 TDI Premium,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2013,57000,22.7,1498,89.84,5.0,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2014,58000,15.1,2179,140.0,7.0,8.1,Mahindra,XUV500 W8 2WD,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2015,30000,25.8,1498,98.6,5.0,3.5,Honda,Amaze SX i-DTEC,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2013,34212,22.07,1199,73.9,5.0,2.79,Volkswagen,Polo Diesel Highline 1.2L,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2010,70002,16.2,1493,110.0,5.0,3.45,Hyundai,Verna Transform SX VGT CRDi,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016,62000,18.9,998,67.1,5.0,4.45,Maruti,Wagon R VXI BS IV,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2010,62001,15.26,1598,103.5,5.0,2.65,Volkswagen,Polo Petrol Highline 1.6L,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2011,78958,23.0,1396,90.0,5.0,3.8,Hyundai,i20 1.4 CRDi Sportz,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2014,30180,18.5,1197,82.85,5.0,4.65,Hyundai,i20 Asta 1.2,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2017,32851,19.83,1198,67.0,7.0,3.95,Datsun,GO Plus T Petrol,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2010,30000,14.94,2967,241.4,5.0,9.8,Audi,A4 3.0 TDI Quattro Premium,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2009,66000,17.0,1197,80.0,5.0,2.7,Hyundai,i20 2015-2017 Asta,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2010,93850,14.0,796,35.0,5.0,2.41,Maruti,Omni 5 Str STD,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2014,53000,17.71,1197,78.9,5.0,3.9,Toyota,Etios Liva 1.2 G,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2011,78000,14.74,2993,270.9,5.0,24.0,Jaguar,XF 3.0 Litre S Premium Luxury,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2012,65000,16.0,2179,140.0,7.0,5.75,Mahindra,XUV500 W8 2WD,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014,40000,22.32,1582,126.32,5.0,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2017,30000,11.36,2755,171.5,7.0,19.25,Toyota,Innova Crysta 2.8 ZX AT,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2017,38053,15.1,1196,73.0,5.0,3.91,Maruti,Eeco 5 Seater AC,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2014,25500,25.4,624,37.5,4.0,2.15,Tata,Nano Twist XT,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2015,56087,22.69,1995,190.0,5.0,20.75,BMW,3 Series 320d Luxury Line,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2010,71088,13.5,1799,130.0,5.0,3.35,Honda,Civic 2006-2010 1.8 V MT,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2014,55000,12.99,2494,100.6,7.0,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2014,32700,23.3,1984,150.0,5.0,20.0,Volvo,V40 Cross Country D3,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2016,39882,19.15,1198,75.94,5.0,6.55,Nissan,Micra XV CVT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2009,128000,10.8,2497,215.0,5.0,7.0,BMW,5 Series 2010-2013 525i,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2016,55000,24.3,1248,88.5,5.0,7.5,Maruti,Vitara Brezza VDi,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2005,102000,17.0,1086,,5.0,0.85,Hyundai,Santro Xing XL eRLX Euro III,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2014,53753,15.0,2143,107.3,5.0,16.75,Mercedes-Benz,B Class B200 CDI,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2018,10250,22.0,1582,126.2,5.0,10.95,Hyundai,Verna CRDi 1.6 SX Option,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2011,43874,18.9,998,67.1,5.0,2.45,Maruti,Wagon R LXI BS IV,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2017,32684,21.9,624,37.48,4.0,3.23,Tata,Nano XTA,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2014,42000,12.05,2179,120.0,8.0,7.75,Mahindra,Scorpio VLX,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2009,28352,11.7,1796,178.0,5.0,9.35,Mercedes-Benz,New C-Class 200 K AT,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2013,89900,26.6,998,58.16,5.0,3.25,Maruti,Wagon R LXI CNG,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2007,47700,10.8,2354,152.0,5.0,5.25,Honda,CR-V 2.4 MT,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2015,55000,21.21,1498,103.2,5.0,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2017,44285,20.73,1373,91.1,5.0,7.47,Maruti,Ciaz VXi Plus,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2016,54000,16.0,2179,140.0,7.0,13.25,Mahindra,XUV500 AT W10 FWD,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2016,30232,21.1,1197,85.8,5.0,5.81,Maruti,Ritz VXI ABS,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2014,88500,24.07,998,67.1,5.0,2.6,Maruti,Alto K10 VXI,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2017,13372,19.0,2996,362.07,2.0,54.0,Mercedes-Benz,SLC 43 AMG,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2019,12645,17.0,1591,121.3,5.0,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2010,94385,19.7,796,46.3,5.0,1.6,Maruti,Alto LXi BSIII,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2015,31821,20.58,1995,143.0,5.0,17.22,BMW,1 Series 118d Base,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2015,12000,19.0,1199,88.7,5.0,6.0,Honda,Jazz 1.2 V CVT i VTEC,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2012,88578,13.5,1799,130.0,5.0,3.95,Honda,Civic 2006-2010 1.8 V MT,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
